createdAt,followers,likeCount,quoteCount,replyCount,retweetCount,searchTerm,url,viewCount
Mon Apr 15 15:54:57 +0000 2024,512932,5661,58,70,2863,Detention Camps,https://x.com/QudsNen/status/1779901233806893123,143885
Thu Apr 11 17:32:30 +0000 2024,512932,249,128,30,214,Detention Camps,https://x.com/QudsNen/status/1778476230003564919,20800
Sat Apr 13 05:39:12 +0000 2024,33845,213,28,41,144,Detention Camps,https://x.com/NilanjanDasAITC/status/1779021497237197159,5298
Sun Apr 14 00:33:10 +0000 2024,334803,2384,137,836,1701,Detention Camps,https://x.com/BidenHQ/status/1779306872375328973,125020
Wed Apr 17 21:10:15 +0000 2024,21527,117,0,6,29,Detention Camps,https://x.com/MikePerryavatar/status/1780705356039233779,2494
Wed Apr 17 21:16:11 +0000 2024,2137,548,16,250,80,Detention Camps,https://x.com/28virgo/status/1780706850515849679,19235
Mon Apr 15 14:33:39 +0000 2024,512932,1028,23,30,947,Detention Camps,https://x.com/QudsNen/status/1779880773153173575,30720
Mon Apr 15 15:22:23 +0000 2024,512932,327,5,8,175,Detention Camps,https://x.com/QudsNen/status/1779893036752720368,11683
Wed Apr 17 09:09:34 +0000 2024,3901209,24,1,7,21,Detention Camps,https://x.com/guardiannews/status/1780523990739730706,10444
Wed Apr 10 20:12:20 +0000 2024,2727,16,1,0,17,Detention Camps,https://x.com/BuddJenn/status/1778154066675376471,1136
Thu Apr 11 17:45:14 +0000 2024,2178,21,2,6,17,Detention Camps,https://x.com/maryjay223/status/1778479436939334043,572
Mon Apr 15 17:50:04 +0000 2024,28483,54,0,2,32,Detention Camps,https://x.com/DmodosCutter/status/1779930204669948286,563
Wed Apr 17 10:59:41 +0000 2024,20787,167,5,19,96,Detention Camps,https://x.com/KreaseChan/status/1780551701587546276,20077
Fri Apr 12 22:23:05 +0000 2024,15159,187,8,7,114,Detention Camps,https://x.com/AbduwelA/status/1778911744754086270,14215
Mon Apr 15 15:51:47 +0000 2024,66950,67,0,1,16,Detention Camps,https://x.com/redstreamnet/status/1779900436926840998,2057
