likeCount,createdAt,searchTerm,replyCount,quoteCount,retweetCount,viewCount,followersCount
2589,Fri Apr 12 02:14:15 +0000 2024,gun control,52,32,605,75385,957537
64313,Thu Apr 11 14:54:12 +0000 2024,gun control,1902,1674,17796,2395991,2898272
748,Sat Apr 13 11:18:27 +0000 2024,gun control,97,12,109,20364,39299
9382,Thu Apr 11 20:19:43 +0000 2024,gun control,218,38,1249,187831,386633
683,Thu Apr 11 20:17:14 +0000 2024,gun control,21,22,189,28683,24880
1194,Thu Apr 11 21:23:18 +0000 2024,gun control,147,67,463,25536,52421
2855,Fri Apr 12 13:17:13 +0000 2024,gun control,81,31,433,141576,408001
907,Thu Apr 11 23:38:09 +0000 2024,gun control,1253,101,76,202832,64387
1847,Thu Apr 11 19:21:52 +0000 2024,gun control,26,0,256,32487,146036
15299,Thu Apr 11 22:11:29 +0000 2024,gun control,466,262,5043,605005,2316397
849,Sat Apr 06 20:42:23 +0000 2024,gun control,17,6,140,8993,34686
205,Fri Apr 12 01:54:05 +0000 2024,gun control,6,3,114,3803,81372
1452,Wed Apr 10 14:10:43 +0000 2024,gun control,243,12,223,16859,27925
165,Thu Apr 11 16:09:31 +0000 2024,gun control,10,7,139,7089,6087
1591,Thu Apr 11 17:05:37 +0000 2024,gun control,43,42,382,45694,34686
1030,Thu Apr 11 16:29:28 +0000 2024,gun control,45,37,287,109824,147565
274,Wed Apr 10 03:25:21 +0000 2024,gun control,37,1,52,3423,21210
5392,Thu Apr 11 20:36:04 +0000 2024,gun control,118,24,771,125104,146036
895,Thu Apr 11 17:10:57 +0000 2024,gun control,74,30,326,16559,348652
465,Thu Apr 11 15:01:10 +0000 2024,gun control,28,14,273,8990,54112
290,Fri Apr 12 11:56:37 +0000 2024,gun control,43,17,75,5671,29372
2084,Sat Apr 13 12:24:21 +0000 2024,gun control,120,4,178,20027,39299
1944,Thu Apr 11 12:45:49 +0000 2024,gun control,101,115,911,67619,124180
1731,Thu Apr 11 19:01:00 +0000 2024,gun control,73,79,349,106100,17430
1018,Thu Apr 11 21:52:19 +0000 2024,gun control,66,23,253,23481,165655
2574,Mon Apr 08 07:30:41 +0000 2024,gun control,63,17,393,686957,14207
230,Thu Apr 11 17:55:31 +0000 2024,gun control,23,8,69,4511,21210
3639,Thu Apr 11 14:05:23 +0000 2024,gun control,183,135,1809,77629,329463
720,Thu Apr 11 14:01:04 +0000 2024,gun control,106,17,73,24005,44483
392,Thu Apr 11 16:23:58 +0000 2024,gun control,24,7,119,16346,146603
161,Thu Apr 11 21:58:48 +0000 2024,gun control,10,7,48,4061,1507
708,Thu Apr 11 18:34:54 +0000 2024,gun control,16,11,270,11106,128090
4325,Mon Apr 08 17:38:30 +0000 2024,gun control,129,31,1123,222424,146036
263,Fri Apr 12 15:00:46 +0000 2024,gun control,20,14,105,10268,43873
4891,Thu Apr 11 17:47:03 +0000 2024,gun control,127,77,1322,98201,1505599
198,Sat Apr 13 23:41:33 +0000 2024,gun control,14,5,47,6700,8562
1164,Sat Apr 13 19:31:11 +0000 2024,gun control,180,30,402,60153,54477
3029,Sun Apr 07 21:01:39 +0000 2024,gun control,314,142,1023,1040468,15229
718,Fri Apr 12 21:10:48 +0000 2024,gun control,83,12,102,22604,60060
13194,Mon Apr 08 21:31:00 +0000 2024,gun control,353,129,4337,136000,1554170
1474,Sat Apr 13 15:00:01 +0000 2024,gun control,18,4,177,30541,408001
953,Thu Apr 11 19:38:48 +0000 2024,gun control,54,34,333,44468,1120622
3654,Fri Apr 12 14:39:37 +0000 2024,gun control,49,13,497,74340,386633
481,Thu Apr 11 15:48:06 +0000 2024,gun control,39,29,254,14903,118479
787,Tue Apr 09 15:13:31 +0000 2024,gun control,325,6,50,39565,46027
3411,Thu Apr 11 16:00:19 +0000 2024,gun control,81,10,351,67809,923267
550,Tue Apr 09 22:00:36 +0000 2024,gun control,77,4,82,15733,17891
544,Thu Apr 11 10:50:21 +0000 2024,gun control,15,21,138,15066,16024
313,Thu Apr 11 16:52:09 +0000 2024,gun control,5,4,70,8888,115945
114,Fri Apr 12 03:17:06 +0000 2024,gun control,6,5,53,2142,47253
2628,Fri Apr 12 16:36:12 +0000 2024,gun control,75,30,449,186626,979686
822,Sat Apr 06 23:33:44 +0000 2024,gun control,6,1,81,15284,15069
522,Thu Apr 11 16:49:52 +0000 2024,gun control,20,10,152,14942,373095
170,Fri Apr 12 07:15:29 +0000 2024,gun control,4,6,64,1894,16524
512,Fri Apr 12 09:48:32 +0000 2024,gun control,65,17,333,11386,54361
1157,Thu Apr 11 17:10:10 +0000 2024,gun control,34,29,440,14639,142949
577,Fri Apr 12 16:45:36 +0000 2024,gun control,48,10,161,72457,653854
2864,Thu Apr 11 21:56:21 +0000 2024,gun control,82,7,321,125859,3405
1222,Tue Apr 09 01:38:59 +0000 2024,gun control,50,3,64,29243,146036
191,Thu Apr 11 15:50:32 +0000 2024,gun control,23,5,171,5061,27319
344,Thu Apr 11 22:59:16 +0000 2024,gun control,21,17,219,9395,20541
500,Wed Apr 10 23:40:29 +0000 2024,gun control,39,30,120,18922,18597
141,Sat Apr 13 08:33:27 +0000 2024,gun control,25,7,80,11479,205191
1694,Thu Apr 11 16:19:56 +0000 2024,gun control,61,61,411,221673,55273
271,Wed Apr 10 01:58:21 +0000 2024,gun control,6,2,62,3858,3364
334,Tue Apr 09 14:25:24 +0000 2024,gun control,18,5,207,8629,164558
744,Sat Apr 13 01:10:23 +0000 2024,gun control,26,10,95,25235,447750
80,Thu Apr 11 16:52:13 +0000 2024,gun control,4,1,82,2161,10780
176,Thu Apr 11 15:55:04 +0000 2024,gun control,14,10,46,3599,29489
3204,Thu Apr 11 21:43:00 +0000 2024,gun control,91,52,674,65741,447750
153,Fri Apr 12 11:54:35 +0000 2024,gun control,5,3,148,5888,50492
167,Thu Apr 11 20:42:42 +0000 2024,gun control,2,5,168,4999,27319
1749,Thu Apr 11 20:45:00 +0000 2024,gun control,84,27,486,38509,360427
272,Sat Apr 13 13:01:00 +0000 2024,gun control,18,0,88,12406,2661
136,Thu Apr 11 17:21:16 +0000 2024,gun control,9,4,99,2817,7281
327,Fri Apr 12 22:40:07 +0000 2024,gun control,20,5,55,68761,1837787
183,Fri Apr 12 03:35:56 +0000 2024,gun control,150,12,139,4818,5893
248,Thu Apr 11 16:08:36 +0000 2024,gun control,14,10,84,9369,77134
286,Thu Apr 11 22:07:29 +0000 2024,gun control,15,3,53,2842,9895
4782,Fri Apr 12 14:50:59 +0000 2024,gun control,129,197,244,277901,177460
4753,Fri Apr 12 15:08:26 +0000 2024,gun control,311,35,860,128722,64869
